nombre,descripcion,categoria,precio,stock,destacado
Multiherramienta 18 en 1 #9,Ideal para reparaciones en ruta o montaña,accesorios,47,39,False
Bicicleta de Montaña XC Pro #10,"Cuadro de aluminio, suspensión delantera RockShox, frenos hidráulicos",bicicletas,1220,15,True
Bicicleta Urbana Rodado 28 #10,"Diseño cómodo para ciudad, con portaequipaje y luces LED",bicicletas,770,18,False
Casco MTB Trail #10,"Casco liviano, con ventilación y certificación CE",accesorios,105,30,False
Inflador de Pie con Manómetro #10,"Compatible con válvula presta y schrader, ideal para MTB",accesorios,55,50,False
Cadena Shimano HG40 6/7/8v #10,Compatible con transmisiones MTB y urbanas,repuestos,39,60,False
Cubierta Kenda 29x2.1 MTB #10,Diseño mixto para tracción y velocidad en terrenos variados,repuestos,65,35,True
Guantes Ciclismo Verano #10,Con gel antivibración y tejido respirable,accesorios,42,45,False
Bicicleta Ruta Carbono R9000 #10,"Cuadro de carbono, Shimano 105 11v, ruedas aero",bicicletas,2320,13,True
Sillín Gel Confort #10,"Ideal para cicloturismo y MTB, con sistema de amortiguación",accesorios,59,25,False
Multiherramienta 18 en 1 #10,Ideal para reparaciones en ruta o montaña,accesorios,49,40,False
